Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Barasona, J.A., M. Mulero-Pazmany, P. Acevedo, J.J. Negro, M.J. Torres, C. Gortazar, and J. Vicente",2014,Unmanned Aircraft Systems for Studying Spatial Abundance of Ungulates: Relevance to Spatial Epidemiology,PLoS ONE,,Mammals,"Bovidae, Cervidae","cattle, Bos taurus, wild boar, Sus scrofa, red deer, Cervus elaphus, fallow deer, Dama dama","disease, host abundance, Spain","Barasona, J.A., M. Mulero-Pazmany, P. Acevedo, J.J. Negro, M.J. Torres, C. Gortazar, and J. Vicente. 2014. Unmanned Aircraft Systems for Studying Spatial Abundance of Ungulates: Relevance to Spatial Epidemiology. PLoS ONE 9(12): e115608. doi:10.1371/journal.pone.0115608.",Fixed-wing,Easy Fly - custom,Panasonic Lumix LX-3 11-MP camera,
"Barbedo, J.G.A. and L.V. Koenigkan",2018,Perspectives on the Use of Unmanned Aerial Systems to Monitor Cattle,Outlook on Agriculture,,Mammals,Bovidae,domestic cattle,"review, sensors, platforms,","Barbedo, J.G.A. and L.V. Koenigkan. 2018. Perspectives on the Use of Unmanned Aerial Systems to Monitor Cattle. Outlook on Agriculture 47:214-222.  https://doi.org/10.1177/0030727018781876.",,,,
"Barbedo, J.G.A., L.V. Koenigkan, and P.M. Santos",2020,Cattle Detection Using Oblique UAV Images,Drones,,Mammals,Bovidae,"cattle, Bos taurus","species detection, AI, convolutional neural networks, Brazil","Barbedo, J.G.A., L.V. Koenigkan, and P.M. Santos. 2020. Cattle Detection Using Oblique UAV Images. Drones 4, 75; doi:10.3390/drones4040075.",quadcopter,DJI Mavic 2 Pro,20-MP camera,x
"Barbedo, J.G.A., L.V. Koenigkan, P.M. Santos, and
A.R.B. Ribeiro",2020,Counting Cattle in UAV Images—Dealing with Clustered Animals and Animal/Background Contrast Changes,Sensors,,Mammals,Bovidae,"cattle, Bos taurus","population estimate, deep learning, convolutional neural network, Brazil","Barbedo, J.G.A., L.V. Koenigkan, P.M. Santos, and
A.R.B. Ribeiro. 2020. Counting Cattle in UAV Images—Dealing with Clustered Animals and Animal/Background Contrast Changes. Sensors 20, 2126; doi:10.3390/s20072126. ",quadcopter,"DJI Phantom 4 Pro
DJI Mavic 2 Pro",20-MP camera,
"Barbedo, J.G.A., L.V. Koenigkan, T.T. Santos, and P.M. Santos",2019,A Study on the Detection of Cattle in UAV Images Using Deep Learning,Sensors,,Mammals,Bovidae,"cattle, Bos taurus","population estimate, deep learning, convolutional neural network, Brazil","Barbedo, J.G.A., L.V. Koenigkan, T.T. Santos, and P.M. Santos. 2019. A Study on the Detection of Cattle in UAV Images Using Deep Learning. Sensors 19, 5436; doi:10.3390/s19245436.",,DJI Phantom 4 Pro,20-MP camera,
"Barbosa, R.V., M. Jaud, C. Bacher, Y. Kerjean, F. Jean, J. Ammann, and Y. Thomas",2022,High-Resolution Drone Images Show That the Distribution of Mussels Depends on Microhabitat Features of Intertidal Rocky Shores,Remote Sensing,,Invertebrates,Mytilidae,"Mediterranean mussel, Mytilus galloprovincialis","species distribution, habitat, France","Barbosa, R.V., M. Jaud, C. Bacher, Y. Kerjean, F. Jean, J. Ammann, and Y. Thomas. 2022. High-Resolution Drone Images Show That the Distribution of Mussels Depends on Microhabitat Features of Intertidal Rocky Shores. Remote Sensing https://doi.org/10.3390/rs14215441.",quadcopter,DJI Phantom 4 Pro,8-MP camera,
"Barnas, A.",2019,Applications of an Unmanned Aircraft Vehicle and Remote Cameras for Studying a Sub-Arctic Ecosystem,,Dissertation,"Birds, marine mammals","Anatidae, Ursidae","lesser snow goose, Anser caerulescens caerulescens, polar bear, Ursus martitimus","review, disturbance, behavior, nesting, habitat assessment, wildlife damage, ground vs aerial surveys, Manitoba","Barnas, A.. 2019. Applications of an Unmanned Aircraft Vehicle and Remote Cameras for Studying a Sub-Arctic Ecosystem. Dissertation. University of North Dakota, Grand Forks. December.",,Trimble UX4,"Sony NEX-5R 16.1-MP camera
",
"Barnas, A., R. Newman, C.J. Felege, M.P. Corcoran, S.D. Hervey, T.J. Stechmann, R.F. Rockwell, and S.N. Ellis-Felege",2018,Evaluating behavioral responses of nesting lesser snow geese to unmanned aircraft surveys,Ecology and Evolution,,Birds,Anatidae,lesser snow goose. Anser caerulescens caerulescens,"disturbance, nesting, Manitoba","Barnas, A., R. Newman, C.J. Felege, M.P. Corcoran, S.D. Hervey, T.J. Stechmann, R.F. Rockwell, and S.N. Ellis-Felege. 2018. Evaluating behavioral responses of nesting lesser snow geese to unmanned aircraft surveys. Ecology and Evolution 8:1328–1338.",fixed-wing,Trimble UX5,"Sony NEX-5R 16.1-MP camera
",
"Barnas, A.F., B.J. Darby, G.S. Vandeberg, R.F. Rockwell, and S.N. Ellis-Felege",2019,A comparison of drone imagery and ground-based methods for estimating the extent of habitat destruction by lesser snow geese (Anser caerulescens caerulescens) in La Perouse Bay,PLoS ONE,,Birds,Anatidae,"lesser snow goose, Anser caerulescens caerulescens","habitat assessment, wildlife damage, ground vs aerial surveys, Manitoba","Barnas, A.F., B.J. Darby, G.S. Vandeberg, R.F. Rockwell, and S.N. Ellis-Felege. 2019. A comparison of drone imagery and ground-based methods for estimating the extent of habitat destruction by lesser snow geese (Anser caerulescens caerulescens) in La Perouse Bay. PLoS ONE 14(8): e0217049. https://doi.org/10.1371/journal.pone.0217049.",Fixed-wing,Trimble UX5,"Sony NEX-5R 16.1-MP camera
",
"Barnas, A.F., C.J. Felege, R.F. Rockwell, and S.N. Ellis‑Felege",2018,A pilot(less) study on the use of an unmanned aircraft system for studying polar bears (Ursus maritimus),Polar Biology,,Mammals,Ursidae,"polar bear, Ursus maritimus","species detection, detection probability, disturbance, Manitoba","Barnas, A.F., C.J. Felege, R.F. Rockwell, and S.N. Ellis‑Felege. 2018. A pilot(less) study on the use of an unmanned aircraft system for studying polar bears (Ursus maritimus). Polar Biology 41: 1055–1062.",fixed-wing,Trimble UX5,Sony NEX-5R 16.1-MP camera,
"Barnas, A.F., D. Chabot, A.J. Hodgson, D.W. Johnston, D.M. Bird, and S.N. Ellis-Felege",2020,A standardized protocol for reporting methods when using drones for wildlife research,Journal of Unmanned Vehicle Systems,,Protocols,,,"review, data collection protocols, regulations, permits, sensors, operations, best practices","Barnas, A.F., D. Chabot, A.J. Hodgson, D.W. Johnston, D.M. Bird, and S.N. Ellis-Felege. 2020. A standardized protocol for reporting methods when using drones for wildlife research. Journal of Unmanned Vehicle Systems 8: 89-98. ",,,,x
"Barr, J.R., M.C. Green, S.J. DeMaso, and T.B. Hardy",2018,Detectability and visibility biases associated with using a consumer-grade unmanned aircraft to survey nesting colonial waterbirds,Journal of Field Ornithology,,Birds,"Ardeidae, Laridae","black skimmer, Rynchops niger, herons","detectability, Texas","Barr, J.R., M.C. Green, S.J. DeMaso, and T.B. Hardy. 2018. Detectability and visibility biases associated with using a consumer-grade unmanned aircraft to survey nesting colonial waterbirds. Journal of Field Ornithology 89: 242-257.",Quadcopter,DJI Phantom 3 Pro,,
"Barr, J.R., M.C. Green, S.J. DeMaso, and T.B. Hardy",2020,"Drone Surveys Do Not Increase Colony-wide Flight Behaviour at Waterbird Nesting Sites, But Sensitivity Varies Among Species",Scientific Reports,,Birds,"Anhingidae, Ardeidae, Laridae, Threskiornithidae","black skimmer, Rynchops niger, great blue heron, Ardea herodias, laughing gull, Leucophaeus atricilla, reddish egret, Egretta rufescens, royal tern, Thalasseus maximus, black-crowned night heron, Nycticorax nycticorax, roseate spoonbill, Platelea ajaja, tricolored heron, Egretta tricolor, white ibis, Eudocimus albus, anhinga, Anhinga anhinga, cattle egret, Bubulcus ibis, great egret, Ardea alba, snowy egret, Egretta thula","disturbance, nest monitoring, Texas","Barr, J.R., M.C. Green, S.J. DeMaso, and T.B. Hardy. 2020. Drone Surveys Do Not Increase Colony-wide Flight Behaviour at Waterbird Nesting Sites, But Sensitivity Varies Among Species. Scientific Reports 10:3781. https://doi.org/10.1038/s41598-020-60543-z.",Quadcopter,DJI Phantom 3 ,FC300X camera,x
"Barreto, J., L. Cajaíba, J.B. Teixeira, L. Nascimento, A. Giacomo, N. Barcelos, T. Fettermann, and A. Martins",2021,Drone-Monitoring: Improving the Detectability of Threatened Marine Megafauna,Drones,,"birds, fish, marine mammals, reptiles","Fregatidae, Sulidae, Procellariidae, Sternidae, Diomedeidae, Ardeidae, Cheloniidae, Carangidae, Echeneidae, Rhinopteridae,","magnificent frigatebird, Fregata
magnificens, brown booby, Sula leucogaster, masked booby, Sula dactylatra, albatross, Thalassarche sp., common tern, Sterna hirundo, large-billed tern, Phaetusa simplex, snowy egret, Egretta thula, loggerhead, Caretta caretta, Olive ridley, Lepidochelys olivacea, green turtle, Chelonia mydas, leatherback, Dermochelys coriacea, rough-toothed dolphin, Steno bredanensis, Guiana dolphin, Sotalia guianensis, Franciscana, Pontoporia blainvillei, black jack, Caranx lugubris, common remora, Remora sp., whale shark, Rhincodon typus, Spotted eagle ray, Aetobatus narinari, American cownose ray, Rhinoptera bonasus
","species detection, species monitoring, disturbance, Brazil","Barreto, J., L. Cajaíba, J.B. Teixeira, L. Nascimento, A. Giacomo, N. Barcelos, T. Fettermann, and A. Martins. 2021. Drone-Monitoring: Improving the Detectability of Threatened Marine Megafauna. Drones https://doi.org/10.3390/drones5010014.",quadcopter,DJI Mavic 2 Zoom,,x
"Basu, C.K., F. Deacon, J.R. Hutchinson, and A.M. Wilson",2019,"The running kinematics of free-roaming giraffes, measured using a low cost unmanned aerial vehicle (UAV)",PeerJ,,Mammals,Giraffidae,"South African giraffe, Giraffa camelopardalis giraffa","morphometrics, South Africa","Basu, C.K., F. Deacon, J.R. Hutchinson, and A.M. Wilson. 2019. The running kinematics of free-roaming giraffes, measured using a low cost unmanned aerial vehicle (UAV). PeerJ http://doi.org/10.7717/peerj.6312.",quadcopter,DJI Phantom 4,,
"Bauer, M.",2018,Photogrammetric Principles and UAS,,PowerPoint presentation,review,,,"review, ground control, camera calibration, ","Bauer, M. 2018. Photogrammetric Principles and UAS. National Unmanned Aircraft Systems Project Office, Geosciences and Environmental Change Science Center, U.S. Geological Survey, Denver, CO.",,,,
"Baur, S., J. Kauffert, A.J.M. Hewison, S. Reinermann, A. König, A. Menzel, and W. Peters",2023,Spatial scaling in bed-site selection by roe deer fawns: Implications for mitigating neonatal mortality during mowing,Ecology and Evolution,,Mammals,Cervidae,"Roe deer, Capreolus capreolus","human-wildlife conflict, species detection, Germany","Baur, S., J. Kauffert, A.J.M. Hewison, S. Reinermann, A. König, A. Menzel, and W. Peters. 2023. Spatial scaling in bed-site selection by roe deer fawns: Implications for mitigating neonatal mortality during mowing. Ecology and Evolution https://doi.org/10.1002/ece3.10729.",not provided,not provided,Thermal sensor,
"Baxter, P.W. and G. Hamilton",2018,Learning to fly: integrating spatial ecology with unmanned aerial vehicle surveys,Ecosphere,,Mission planning,,,"simulation, abundance estimation, detectability, occupancy, population monitoring","Baxter, P. W. J., and G. Hamilton. 2018. Learning to fly: integrating spatial ecology with unmanned aerial
vehicle surveys. Ecosphere 9(4):e02194. 10.1002/ecs2.2194. ",,,,
"Baxter, P.W.J. and G. Hamilton",2015,Fine-tuning of unmanned aerial surveillance for ecological systems,,21st International Congress on Modelling and Simulation,Invasive species,,,"invasive species, flight paramaters, monitoring","Baxter, P.W.J. and G. Hamilton. 2015. Fine-tuning of unmanned aerial surveillance for ecological systems. Pages 1393-1398 in T. Weber, M.J. McPhee, and R.S. Anderssen, eds. MODSIM2015, 21st International Congress on Modelling and Simulation, Modelling and Simulation Society of Australia and New Zealand, Gold Coast, Australia, 29 Nov to 4 Dec 2015. https://doi.org/10.36334/MODSIM.2015.F12.baxter.",,,,
"Bayram, H., N. Stefas, K.S. Engin, and V. Isler",2017,"Tracking Wildlife with Multiple UAVs: System Design, Safety and Field Experiments",,1st International Symposium on Multi-Robot and Multi-Agent Systems,Radiotelemetry,,,radiotelemetry,"Bayram, H., N. Stefas, K.S. Engin, and V. Isler. 2017. Tracking Wildlife with Multiple UAVs: System Design, Safety and Field Experiments. 1st International Symposium on Multi-Robot and Multi-Agent Systems, December 4-5, 2017, Los Angeles, CA.",Quadcopter,DJI Matrice 100,Yagi antenna,
"Bean, W.T., S. Dulava, M. Bauer, J. Sloan, and O.M. W. Richmond",2022,A Novel Automated Method for Point-Based Change Detection Increases Estimation Accuracy of Breeding Pairs in Waterbird Colonies,Waterbirds,,Birds,Pelecanidae,"American white pelican, Pelecanus erythrorhynchos","population estimate, density estimate, Nevada","Bean, W.T., S. Dulava, M. Bauer, J. Sloan, and O.M.W. Richmond. 2022. A Novel Automated Method for Point-Based Change Detection Increases Estimation Accuracy of Breeding Pairs in Waterbird Colonies. Waterbirds 44:277-288. https://doi.org/10.1675/063.044.0302.",fixed-wing,RQ-11A Raven,12.1-MP Canon S100 camera,x
"Beaver, J.T., R.W. Baldwin, M. Messinger, C.H. Newbolt, S.S. Ditchkoff, and M.R. Silman",2020,Evaluating the Use of Drones Equipped with Thermal Sensors as an Effective Method for Estimating Wildlife,Wildlife Society Bulletin,,Mammals,Cervidae,"white‐tailed deer, Odocoileus virginianus","density estimation, population estimation, Alabama","Beaver, J.T., R.W. Baldwin, M. Messinger, C.H. Newbolt, S.S. Ditchkoff, and M.R. Silman. 2020. Evaluating the Use of Drones Equipped with Thermal Sensors as an Effective Method for Estimating Wildlife. Wildlife Society Bulletin 44: 434-443.",Fixed-wing,Ritewing Drak,"FLIR Vue Pro
640",x
"Bech-Hansen, M., R.M. Kallehauge, J.M.S. Lauritzen, M.H. Sørensen, B. Laubek, L.F. Jensen, C. Pertoldi, and D. Bruhn",2020,Evaluation of disturbance effect on geese caused by an approaching unmanned aerial vehicle,Bird Conservation International,,Birds,Anatidae,"barnacle goose, Branta leucopsis, pink-footed goose, Anser brachyrhynchus, greylag goose, Anser anser, Canada goose, Branta canadensis, greater white-fronted goose, Anser albifrons","disturbance, best practices, behavior, nest monitoring, raptors, waterbirds, Australia","Bech-Hansen, M., R.M. Kallehauge, J.M.S. Lauritzen, M.H. Sørensen, B. Laubek, L.F. Jensen, C. Pertoldi, and D. Bruhn. 2020. Evaluation of disturbance effect on geese caused by an approaching unmanned aerial vehicle. Bird Conservation International 30: 169 – 175.",quadcopter,DJI Phantom 4 Pro,,x
"Bell, M. and P. Harborne",2019,The use of an Unmanned Aerial Vehicle to census large breeding colonies of black-billed gull (Larus bulleri) and white-fronted tern (Sterna striata) at the Ashburton River/Hakatere River mouth,Notornis,,Birds,Laridae,"black-billed gull, Larus bulleri, white-fronted tern, Sterna striata","population census, New Zeland","Bell, M. and P. Harborne. 2019. The use of an Unmanned Aerial Vehicle to census large breeding colonies of black-billed gull (Larus bulleri) and white-fronted tern (Sterna striata) at the Ashburton River/Hakatere River mouth. Notornis 66: 95-97.",quadcopter,DJI Phantom 3,,
"Bell, M., P. Frost, and R. Schuckard",2022,Breeding Population Assessment of Kawau Pāteketeke/New Zealand King Shag in the Marlborough Sounds: 2021 Breeding Season,,Report to Department of Conservation,birds,Phalacrocoracidae,"New Zealand king shag, Leucocarbo carunculatus","species identification, population estimate, disturbance, New Zealand","Bell, M., P. Frost, and R. Schuckard. 2022. Breeding Population Assessment of Kawau Pāteketeke/New Zealand King Shag in the Marlborough Sounds: 2021 Breeding Season. Prepared for Marine Species Team, Biodiversity Group, Department of Conservation, Wellington, NZ. March.",quadcopter,DJI Mavic Air 2,DJI FC3170 camera,x
"Beloev, I.H.",2016,A Review on Current and Emerging Application Possibilities for Unmanned Aerial Vehicles,Acta Technologica Agriculturae,,Review,,,"review, applications","Beloev, I.H. 2016. A Review on Current and Emerging Application Possibilities for Unmanned Aerial Vehicles. Acta Technologica Agriculturae 19(3): 70-76. doi: https://doi.org/10.1515/ata-2016-0015.",,,,
"Benavides, M.T., F.J. Fodrie, and D.W. Johnston",2020,Shark detection probability from aerial drone surveys within a temperate estuary,Journal of Unmanned Vehicle Systems,,Fish,Sphyrnidae,"bonnethead shark, Sphyrna tiburo, decoys","visibility bias, population monitoring, distribution, North Carolina","Benavides, M.T., F.J. Fodrie, and D.W. Johnston. 2020. Shark detection probability from aerial drone surveys within a temperate estuary. Journal of Unmanned Vehicle Systems 8: 44–56.",Fixed-wing,senseFly eBee,"Cannon IXUS 127 HS or Cannon Powershot S110
camera with spectral filters: RGB, RE, and NIR",x
"Benjamin, S.",2017,Use of Drones in Avian Conservation: Exploring the use of commercially available drones in wetlands shorebird population monitoring,,Thesis,Birds,"Scolopacidae, Charadriidae, Laridae, Ardeidae",,"disturbance, species detection, population estimate, United Arab Emirates","Benjamin, S. 2017. Use of Drones in Avian Conservation: Exploring the use of commercially available drones in wetlands shorebird population monitoring. MS Thesis. Environmental Sciences and Policy, Johns Hopkins University, Baltimore, MD.",quadcopter,Mavic Pro,,
